Mon Aug 17 08:00:01 UTC 2020
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 10989 MiB, 8887 MiB, 2102 MiB
0 %, 0 %, 10989 MiB, 10979 MiB, 10 MiB
0 %, 0 %, 10989 MiB, 4946 MiB, 6043 MiB
0 %, 0 %, 10989 MiB, 8258 MiB, 2731 MiB
49 %, 29 %, 10989 MiB, 76 MiB, 10913 MiB
0 %, 0 %, 10989 MiB, 10979 MiB, 10 MiB
6 %, 0 %, 10989 MiB, 7958 MiB, 3031 MiB
0 %, 0 %, 10989 MiB, 10979 MiB, 10 MiB
Mon Aug 17 08:30:01 UTC 2020
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 10989 MiB, 8887 MiB, 2102 MiB
0 %, 0 %, 10989 MiB, 10979 MiB, 10 MiB
0 %, 0 %, 10989 MiB, 4946 MiB, 6043 MiB
0 %, 0 %, 10989 MiB, 8258 MiB, 2731 MiB
50 %, 29 %, 10989 MiB, 76 MiB, 10913 MiB
0 %, 0 %, 10989 MiB, 10979 MiB, 10 MiB
6 %, 0 %, 10989 MiB, 7958 MiB, 3031 MiB
0 %, 0 %, 10989 MiB, 10979 MiB, 10 MiB
Mon Aug 17 09:00:01 UTC 2020
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 10989 MiB, 8887 MiB, 2102 MiB
0 %, 0 %, 10989 MiB, 10979 MiB, 10 MiB
0 %, 0 %, 10989 MiB, 4946 MiB, 6043 MiB
0 %, 0 %, 10989 MiB, 8258 MiB, 2731 MiB
50 %, 29 %, 10989 MiB, 76 MiB, 10913 MiB
0 %, 0 %, 10989 MiB, 10979 MiB, 10 MiB
3 %, 0 %, 10989 MiB, 7958 MiB, 3031 MiB
0 %, 0 %, 10989 MiB, 10979 MiB, 10 MiB
Mon Aug 17 09:30:01 UTC 2020
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 10989 MiB, 8887 MiB, 2102 MiB
0 %, 0 %, 10989 MiB, 10979 MiB, 10 MiB
0 %, 0 %, 10989 MiB, 4946 MiB, 6043 MiB
0 %, 0 %, 10989 MiB, 8258 MiB, 2731 MiB
50 %, 29 %, 10989 MiB, 76 MiB, 10913 MiB
0 %, 0 %, 10989 MiB, 10979 MiB, 10 MiB
0 %, 0 %, 10989 MiB, 7958 MiB, 3031 MiB
0 %, 0 %, 10989 MiB, 10979 MiB, 10 MiB
Mon Aug 17 10:00:01 UTC 2020
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 10989 MiB, 8887 MiB, 2102 MiB
0 %, 0 %, 10989 MiB, 10979 MiB, 10 MiB
0 %, 0 %, 10989 MiB, 4946 MiB, 6043 MiB
0 %, 0 %, 10989 MiB, 8258 MiB, 2731 MiB
37 %, 20 %, 10989 MiB, 76 MiB, 10913 MiB
0 %, 0 %, 10989 MiB, 10979 MiB, 10 MiB
5 %, 0 %, 10989 MiB, 7958 MiB, 3031 MiB
0 %, 0 %, 10989 MiB, 10979 MiB, 10 MiB
Mon Aug 17 10:30:01 UTC 2020
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 10989 MiB, 8887 MiB, 2102 MiB
0 %, 0 %, 10989 MiB, 10979 MiB, 10 MiB
0 %, 0 %, 10989 MiB, 4946 MiB, 6043 MiB
